Date,Open,High,Low,Close,Daily_Return,Volume
28/03/2018," Rp594,198 "," Rp594,817 "," Rp584,214 "," Rp585,009 ",-0.01382543,59284
29/03/2018," Rp585,346 "," Rp586,717 "," Rp584,330 "," Rp584,816 ",-0.000330189,5585
02/04/2018," Rp586,075 "," Rp593,672 "," Rp585,060 "," Rp592,744 ",0.013557245,649
03/04/2018," Rp592,942 "," Rp593,428 "," Rp587,678 "," Rp589,580 ",-0.005338968,702
04/04/2018," Rp588,538 "," Rp595,388 "," Rp588,450 "," Rp590,306 ",0.001231094,718
05/04/2018," Rp591,047 "," Rp591,136 "," Rp586,216 "," Rp586,969 ",-0.00565185,258
06/04/2018," Rp587,347 "," Rp590,225 "," Rp584,026 "," Rp589,738 ",0.004717511,348
09/04/2018," Rp589,497 "," Rp591,487 "," Rp586,843 "," Rp590,956 ",0.002065103,290
10/04/2018," Rp589,826 "," Rp592,830 "," Rp588,854 "," Rp592,830 ",0.003170308,105
11/04/2018," Rp591,344 "," Rp602,508 "," Rp591,344 "," Rp598,581 ",0.00970127,118
12/04/2018," Rp597,676 "," Rp597,809 "," Rp590,333 "," Rp592,014 ",-0.010970855,34
13/04/2018," Rp590,479 "," Rp594,943 "," Rp590,479 "," Rp594,413 ",0.004051522,67
16/04/2018," Rp593,725 "," Rp597,178 "," Rp593,725 "," Rp596,602 ",0.003684027,60
17/04/2018," Rp595,610 "," Rp595,654 "," Rp591,634 "," Rp595,257 ",-0.002255476,409
18/04/2018," Rp591,981 "," Rp596,695 "," Rp591,981 "," Rp595,373 ",0.000195867,45
19/04/2018," Rp596,352 "," Rp599,271 "," Rp593,257 "," Rp595,556 ",0.000307403,387
20/04/2018," Rp594,000 "," Rp594,398 "," Rp590,815 "," Rp591,434 ",-0.006922043,310
23/04/2018," Rp588,352 "," Rp588,529 "," Rp583,280 "," Rp583,280 ",-0.013786386,68
24/04/2018," Rp585,938 "," Rp588,280 "," Rp585,850 "," Rp588,147 ",0.008344222,28
25/04/2018," Rp585,559 "," Rp586,002 "," Rp583,790 "," Rp584,321 ",-0.006505602,278
26/04/2018," Rp581,931 "," Rp582,196 "," Rp581,931 "," Rp582,196 ",-0.00363625,569
27/04/2018," Rp582,219 "," Rp585,052 "," Rp581,112 "," Rp584,432 ",0.003840844,622
30/04/2018," Rp578,854 "," Rp581,771 "," Rp578,854 "," Rp581,771 ",-0.004553561,49
01/05/2018," Rp580,150 "," Rp580,415 "," Rp575,820 "," Rp575,997 ",-0.009925355,28
02/05/2018," Rp578,715 "," Rp578,848 "," Rp575,885 "," Rp575,885 ",-0.000193363,23
03/05/2018," Rp579,846 "," Rp579,846 "," Rp579,846 "," Rp579,846 ",0.006876882,4
04/05/2018," Rp580,857 "," Rp580,857 "," Rp580,857 "," Rp580,857 ",0.001744258,0
07/05/2018," Rp580,139 "," Rp580,980 "," Rp579,962 "," Rp580,847 ",-1.77E-05,4
08/05/2018," Rp578,826 "," Rp579,666 "," Rp578,119 "," Rp579,666 ",-0.002033294,337
09/05/2018," Rp579,837 "," Rp579,837 "," Rp579,837 "," Rp579,837 ",0.000295654,70
10/05/2018," Rp580,805 "," Rp584,611 "," Rp580,805 "," Rp584,611 ",0.008233398,8
11/05/2018," Rp582,373 "," Rp582,373 "," Rp582,373 "," Rp582,373 ",-0.003829155,3
14/05/2018," Rp584,170 "," Rp584,170 "," Rp582,666 "," Rp582,666 ",0.000503041,4
15/05/2018," Rp577,021 "," Rp577,066 "," Rp570,077 "," Rp570,077 ",-0.021604739,8
16/05/2018," Rp571,460 "," Rp572,832 "," Rp569,025 "," Rp571,150 ",0.001881718,26
17/05/2018," Rp572,924 "," Rp572,924 "," Rp571,549 "," Rp571,549 ",0.000697797,2
18/05/2018," Rp574,308 "," Rp576,542 "," Rp574,308 "," Rp576,542 ",0.008737605,2
21/05/2018," Rp577,858 "," Rp579,967 "," Rp577,858 "," Rp579,114 ",0.004460753,52
22/05/2018," Rp576,091 "," Rp576,091 "," Rp576,091 "," Rp576,091 ",-0.005219703,50
23/05/2018," Rp576,969 "," Rp576,969 "," Rp576,969 "," Rp576,969 ",0.001523884,10
24/05/2018," Rp581,737 "," Rp581,737 "," Rp581,737 "," Rp581,737 ",0.008262909,0
25/05/2018," Rp581,181 "," Rp581,181 "," Rp581,181 "," Rp581,181 ",-0.000955007,1
29/05/2018," Rp580,424 "," Rp580,424 "," Rp580,424 "," Rp580,424 ",-0.001302426,386334
